!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
OST5	YGL226C-A	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ost5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PEX1	YKL197C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pex1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MYO5	YMR109W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: myo5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TRF5	YNL299W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: trf5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
STB1	YNL309W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: stb1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
KRE1	YNL322C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: kre1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LEM3	YNL323W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: lem3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CSE2	YNR010W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cse2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
FPK1	YNR047W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: fpk1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
APM4	YOL062C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: apm4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTS1	YOR014W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rts1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GAC1	YOR178C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: gac1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HHO1	YPL127C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hho1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YPL150W	YPL150W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ypl150w-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RXT3	YDL076C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rxt3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SNF3	YDL194W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: snf3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MSH6	YDR097C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: msh6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SWI5	YDR146C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: swi5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RIM101	YHL027W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim101-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
KNS1	YLL019C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: kns1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUD8	YLR353W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bud8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MSC1	YML128C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: msc1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SKO1	YNL167C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sko1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CAF120	YNL278W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: caf120-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DPB3	YBR278W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: dpb3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SRB8	YCR081W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: srb8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CLB3	YDL155W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: clb3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CLB1	YGR108W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: clb1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TRS65	YGR166W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: trs65-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CAP2	YIL034C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cap2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
OPI3	YJR073C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: opi3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TSA1	YML028W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tsa1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
KAR5	YMR065W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: kar5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HST1	YOL068C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hst1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TSR3	YOR006C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tsr3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ELP3	YPL086C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: elp3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PAC1	YOR269W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pac1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SNC2	YOR327C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: snc2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
APL5	YPL195W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: apl5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HHT1	YBR010W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hht1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ATO3	YDR384C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ato3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HXK2	YGL253W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hxk2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YDJ1	YNL064C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: ydj1-Δ	S288C	5 ug/ml fluconazole		Gillies AT, et al. (2012) PMID:22851130
SWA2	YDR320C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: swa2-Δ	S288C	5 ug/ml fluconazole		Gillies AT, et al. (2012) PMID:22851130
ZUO1	YGR285C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: zuo1-Δ	S288C	5 ug/ml fluconazole		Gillies AT, et al. (2012) PMID:22851130
JJJ1	YNL227C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: jjj1-Δ	S288C	5 ug/ml fluconazole		Gillies AT, et al. (2012) PMID:22851130
JJJ2	YJL162C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: jjj2-Δ	S288C	5 ug/ml fluconazole		Gillies AT, et al. (2012) PMID:22851130
RIM13	YMR154C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: rim13-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ELA1	YNL230C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: ela1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ELA1	YNL230C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: ela1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
PDR16	YNL231C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: pdr16-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
PDR16	YNL231C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: pdr16-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YNL235C	YNL235C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: ynl235c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
SIN4	YNL236W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: sin4-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
RIM21	YNL294C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: rim21-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
MFA1	YDR461W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: mfa1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YDR467C	YDR467C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: ydr467c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
HXT12	YIL170W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: hxt12-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
HXT12	YIL170W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: hxt12-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
FPK1	YNR047W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: fpk1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
MED7	YOL135C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: med7-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ISD11	YER048W-A	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: isd11-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
BMH1	YER177W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: bmh1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ACT1	YFL039C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: act1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
UTR1	YJR049C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: utr1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
PDR1	YGL013C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: pdr1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
IRS4	YKR019C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: irs4-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
PTR2	YKR093W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: ptr2-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR131C	YOR131C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: yor131c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
PDR5	YOR153W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: pdr5-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
MED4	YOR174W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: med4-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
RIM20	YOR275C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: rim20-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR325W	YOR325W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: yor325w-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR331C	YOR331C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: yor331c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
VMA4	YOR332W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: vma4-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR345C	YOR345C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: yor345c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
VTS1	YOR359W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: vts1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR366W	YOR366W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: yor366w-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR366W	YOR366W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: yor366w-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YOR379C	YOR379C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: yor379c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YPP1	YGR198W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: ypp1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
EMP46	YLR080W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: emp46-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ISU1	YPL135W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: isu1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
SET6	YPL165C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: set6-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
DAP1	YPL170W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: dap1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
QCR10	YHR001W-A	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: qcr10-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ERG11	YHR007C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: erg11-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
NCP1	YHR042W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: ncp1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YHR045W	YHR045W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: yhr045w-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
AGC1	YPR021C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: agc1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
IRE1	YHR079C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: ire1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
HMG1	YML075C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: hmg1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
COQ1	YBR003W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: coq1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
ETR1	YBR026C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: etr1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
NFS1	YCL017C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: nfs1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
TPO3	YPR156C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: tpo3-Δ	S288C	75 mg/L fluconazole		Costa C, et al. (2014) PMID:24576949
NRP1	YDL167C	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: nrp1-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
TAF12	YDR145W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: taf12-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
KGD2	YDR148C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: kgd2-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
UPC2	YDR213W	resistance to chemicals: decreased 	heterozygous diploid, systematic mutation set	large-scale survey	null Allele: upc2-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
UPC2	YDR213W	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: upc2-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
YDR271C	YDR271C	resistance to chemicals: decreased 	homozygous diploid, systematic mutation set	large-scale survey	null Allele: ydr271c-Δ	S288C	  fluconazole		Hoepfner D, et al. (2014) PMID:24360837
BRR6	YGL247W	resistance to chemicals: decreased 	classical genetics	classical genetics	conditional Allele: brr6-1 R110K	Other	25 ug/ml fluconazole	Temperature: permissive temperature, 30 °C 	Lone MA, et al. (2015) PMID:26432634
ERG11	YHR007C	resistance to chemicals: decreased 	classical genetics	classical genetics	repressible	S288C	63.1 uM fluconazole		Smith JD, et al. (2016) PMID:26956608
BRL1	YHR036W	resistance to chemicals: decreased 	classical genetics	classical genetics	conditional Allele: brl1-1	Other	25 ug/ml fluconazole	Temperature: permissive temperature, 30 °C Details: similar results with brl1-2 	Lone MA, et al. (2015) PMID:26432634
WSC2	YNL283C	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: wsc2-Δ	S288C	100 μM fluconazole		Vélez-Segarra V, et al. (2020) PMID:32641451
GTT1	YIR038C	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: gtt1-Δ	S288C	100 μM fluconazole		Vélez-Segarra V, et al. (2020) PMID:32641451
MSA1	YOR066W	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: msa1-Δ	S288C	100 μM fluconazole		Vélez-Segarra V, et al. (2020) PMID:32641451
WSC3	YOL105C	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: wsc3-Δ	S288C	100 μM fluconazole		Vélez-Segarra V, et al. (2020) PMID:32641451
BMH1	YER177W	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: bmh1-Δ	S288C	100 μM fluconazole		Vélez-Segarra V, et al. (2020) PMID:32641451
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: arv1-Δ	W303	0.12 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: arv1-ΔAhd N-terminal truncation; Arv1 homology domain deleted	W303	0.07 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: arv1-Ahd C-terminal truncation; contains the Arv1 homology domain	W303	0.08 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: arv1-L13A Arv1 homology domain mutated	W303	0.13 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: arv1-C27A zinc binding domain mutated	W303	0.15 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: arv1-I47A Arv1 homology domain mutated	W303	0.09 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
ARV1	YLR242C	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: arv1-N63Q Arv1 homology domain mutated	W303	0.41 μg/ml fluconazole	Details: hypersusceptible 	Villasmil ML, et al. (2020) PMID:32678853
NCP1	YHR042W	resistance to chemicals: decreased 	classical genetics 	classical genetics	null Allele: ncp1-(cpr1)-Δ1::LEU2	Other	16 μg/ml fluconazole		Daum G, et al. (1999) PMID:10341423
PDR5	YOR153W	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: pdr5-C199A mutation in highly conserved residue within Walker A sequence motif	Other	1.5 μg/mL fluconazole	Media: YPD 	Ernst R, et al. (2008) PMID:18356296
PDR5	YOR153W	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: pdr5-K911A mutation in highly conserved residue within Walker A sequence motif	Other	1.5 μg/mL fluconazole	Media: YPD 	Ernst R, et al. (2008) PMID:18356296
PDR5	YOR153W	resistance to chemicals: decreased 	classical genetics 	classical genetics	reduction of function Allele: pdr5-E1036Q catalytic carboxylate	Other	1.5 μg/mL fluconazole		Ernst R, et al. (2008) PMID:18356296
SPC72	YAL047C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SWH1	YAR042W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SMP1	YBR182C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PGI1	YBR196C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
DUR12	YBR208C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SPO23	YBR250W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BIK1	YCL029C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SSK22	YCR073C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RBS1	YDL189W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CDC13	YDL220C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
STN1	YDR082W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GIS1	YDR096W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MRX16	YDR132C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
IVY1	YDR229W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RSC3	YDR303C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PFU1	YDR306C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SUM1	YDR310C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
IRC3	YDR332W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HEH2	YDR458C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GCN4	YEL009C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BIM1	YER016W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BOI2	YER114C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
